subj,group,cond,cond_other,choice,rt,acc,x_gaze,x_emo,x_head,x_all,cond_other_emo_head,cond_other_emo,cond_other_head
1,1,1,2,2,790,0,Direct,Fearful,Deviated,Direct_Fearful_Deviated,4,2,2
1,1,1,2,2,702,0,Direct,Fearful,Forward,Direct_Fearful_Forward,2,2,1
1,1,2,2,1,956,0,Indirect,Fearful,Forward,Indirect_Fearful_Forward,2,2,1
1,1,2,2,1,839,0,Indirect,Fearful,Forward,Indirect_Fearful_Forward,2,2,1
1,1,1,2,2,1241,0,Direct,Fearful,Deviated,Direct_Fearful_Deviated,4,2,2
1,1,1,2,1,472,1,Direct,Fearful,Forward,Direct_Fearful_Forward,2,2,1
1,1,1,2,1,621,1,Direct,Fearful,Forward,Direct_Fearful_Forward,2,2,1
1,1,2,2,2,855,1,Indirect,Fearful,Forward,Indirect_Fearful_Forward,2,2,1
1,1,1,2,1,937,1,Direct,Fearful,Forward,Direct_Fearful_Forward,2,2,1
1,1,2,2,2,657,1,Indirect,Fearful,Forward,Indirect_Fearful_Forward,2,2,1
1,1,1,2,2,733,0,Direct,Fearful,Deviated,Direct_Fearful_Deviated,4,2,2
1,1,2,2,1,645,0,Indirect,Fearful,Deviated,Indirect_Fearful_Deviated,4,2,2
1,1,1,2,1,823,1,Direct,Fearful,Forward,Direct_Fearful_Forward,2,2,1
1,1,2,2,2,910,1,Indirect,Fearful,Forward,Indirect_Fearful_Forward,2,2,1
1,1,1,2,1,783,1,Direct,Fearful,Forward,Direct_Fearful_Forward,2,2,1
1,1,2,2,2,760,1,Indirect,Fearful,Deviated,Indirect_Fearful_Deviated,4,2,2
1,1,1,2,1,607,1,Direct,Fearful,Forward,Direct_Fearful_Forward,2,2,1
1,1,1,2,2,725,0,Direct,Fearful,Deviated,Direct_Fearful_Deviated,4,2,2
1,1,2,2,2,640,1,Indirect,Fearful,Deviated,Indirect_Fearful_Deviated,4,2,2
1,1,1,2,1,653,1,Direct,Fearful,Forward,Direct_Fearful_Forward,2,2,1
1,1,2,2,2,716,1,Indirect,Fearful,Forward,Indirect_Fearful_Forward,2,2,1
1,1,1,2,1,983,1,Direct,Fearful,Deviated,Direct_Fearful_Deviated,4,2,2
1,1,2,2,2,614,1,Indirect,Fearful,Deviated,Indirect_Fearful_Deviated,4,2,2
1,1,1,2,2,672,0,Direct,Fearful,Deviated,Direct_Fearful_Deviated,4,2,2
1,1,1,2,1,818,1,Direct,Fearful,Deviated,Direct_Fearful_Deviated,4,2,2
1,1,2,2,2,846,1,Indirect,Fearful,Deviated,Indirect_Fearful_Deviated,4,2,2
1,1,2,2,2,705,1,Indirect,Fearful,Deviated,Indirect_Fearful_Deviated,4,2,2
1,1,1,2,1,618,1,Direct,Fearful,Forward,Direct_Fearful_Forward,2,2,1
1,1,2,2,2,741,1,Indirect,Fearful,Deviated,Indirect_Fearful_Deviated,4,2,2
1,1,2,2,2,823,1,Indirect,Fearful,Forward,Indirect_Fearful_Forward,2,2,1
1,1,2,2,2,705,1,Indirect,Fearful,Forward,Indirect_Fearful_Forward,2,2,1
1,1,1,2,1,527,1,Direct,Fearful,Forward,Direct_Fearful_Forward,2,2,1
1,1,1,2,2,630,0,Direct,Fearful,Deviated,Direct_Fearful_Deviated,4,2,2
